route,count,mean_ms,median_ms,p95_ms,max_ms
GET /,112,10.77,6.16,45.83,64.38
GET /0x70997970C51812dc3A010C7d01b50e0d17dc79C8/prescriptions,2,3.68,3.68,4.19,4.24
GET /0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,1,45.40,45.40,45.40,45.40
GET /0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc/prescriptions,20,7.45,6.21,20.09,20.16
GET /0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266/prescriptions,53,6.90,4.29,17.61,22.21
GET /health,5,9.15,9.02,13.13,13.74
POST /,27,98.75,3.33,820.43,1420.61
POST /26f19966-76fa-424d-9255-1c60b27836eb/approve,1,4.43,4.43,4.43,4.43
POST /abba746e-e74d-4fe5-b91c-b5a4efe7c329/approve,1,3.46,3.46,3.46,3.46
POST /api/requests,7,10.82,11.85,15.82,15.86
